pulsar,mjd,residual_us,residual_error_us,frequency_mhz,time_years,klein_phase
J1946+3417,54004.24239672927,-44199.59325669555,0.09860695859367787,1294.0229907918108,0.0,4.2706021204839715
J1946+3417,54006.3521932068,-42914.888544003195,0.22188470591723009,1449.5464654518964,0.005776307946701313,3.271187838983984
J1946+3417,54019.45275720671,-41676.856798550856,0.2125660942307021,1253.880560692483,0.04164369740571765,3.1711597882364444
J1946+3417,54028.899329555905,-40480.07713567955,0.2357472031778869,1358.4923031032338,0.06750700294766365,4.88970666781659
J1946+3417,54044.215898379196,-39165.44234487308,0.2281892032571246,1255.8725270667167,0.10944148295667436,3.5272838629723537
J1946+3417,54047.18772747418,-37836.19317786536,0.18258324548350519,1576.313532261091,0.11757790758359357,3.9798066884850627
J1946+3417,54047.56082282101,-36577.329127923826,0.1788275106978407,1459.4432078296165,0.11859938697259562,5.787179062940993
J1946+3417,54076.24475231503,-35255.373826325194,0.2761563819410276,1332.0598764159197,0.19713170591584508,4.323496289053651
J1946+3417,54085.26696405855,-33813.35723071786,0.22906749686828326,1310.1264127910122,0.22183317543951028,0.9152247654739156
J1946+3417,54112.54246952862,-32395.86813864193,0.2609072925150261,1510.6218669251616,0.29650943956016274,0.03837886809925806
J1946+3417,54139.31349232602,-31022.357346044253,0.07078298004992171,1221.253633061148,0.3698045053983615,6.195105182473284
J1946+3417,54146.986689404934,-29753.697282004287,0.08689927868198104,1210.4828754490056,0.39081257406067904,5.019339275116515
J1946+3417,54165.256415690405,-28498.65462975241,0.2728401560604496,1441.6222778258307,0.4408323585520434,3.2226333475680065
J1946+3417,54168.140185372664,-27468.94759101361,0.1285112452792559,1443.9013528221087,0.4487276896465247,1.583381720149731
J1946+3417,54197.81789052717,-26467.797449146663,0.15033442988240353,1469.4133749284915,0.5299808180640656,2.5886323484395533
J1946+3417,54202.56530614429,-25512.824353351705,0.24926948606298066,1253.2906502214375,0.5429785336482488,0.7598107896397792
J1946+3417,54217.43909610392,-24604.95886951259,0.18777134131440504,1514.4649321459644,0.5837007511968416,1.8296197761108246
J1946+3417,54231.825761053544,-23512.831680249445,0.25290986155869255,1529.8341080777786,0.623089293153383,5.5829294141698185
J1946+3417,54254.55340768314,-22275.818518837066,0.16534438330166384,1472.9437559092125,0.6853141983678807,5.826488541551477
J1946+3417,54257.04978537355,-20954.055986089093,0.15025152425888683,1361.521541490398,0.6921489079925527,1.7067895261074
J1946+3417,54264.349902917085,-19474.305064197037,0.2591974880500139,1592.4732057318888,0.7121355405552761,3.4957486252875967
J1946+3417,54268.88743992358,-17879.563181282596,0.244997970329985,1348.8152151361396,0.7245586398201466,5.764051910987007
J1946+3417,54272.040674432516,-16370.465609095634,0.1407305988858602,1531.7542830261423,0.7331917254024499,0.37136649712457626
