event_id,gps_time,mass_1,mass_2,mass_total,distance_mpc,redshift,snr,efficiency,chi_eff,max_epsilon,final_state,mode_parity,doppler_shift_hz,frequency_observed,v_total_kms,topology_conserved
H1L1V1-GSTLAL_AllSky-1238393111-1.xml,1238393111.0,44.59150205610907,21.93049704526046,66.52199910136953,2833.346569251917,0.01,6.08893493076608,0.029672355524301933,0.3691137377710596,0.09014048954672581,Klein_relajada,-1,50.0,55.68,198636.59956647112,True
H1L1V1-GSTLAL_AllSky-1238515766-1.xml,1238515766.0,51.27142893748504,17.596141943258033,68.86757088074307,1331.9753481174707,0.01,8.943900546201492,0.02372783424055757,0.1010443106646387,0.1096127539291475,Klein_deformada,0,50.0,55.68,92797.21915787968,True
H1L1V1-GSTLAL_AllSky-1238533958-1.xml,1238533958.0,50.901934987422536,21.799952968563197,72.70188795598574,768.5257247291579,0.01,8.747863096668853,0.02713094244762978,0.7400257010358535,0.1294117798344631,Klein_deformada,0,38.29373758044105,43.973737580441046,53628.87081095485,True
H1L1V1-GSTLAL_AllSky-1238573777-1.xml,1238573777.0,28.303325328101266,22.351199467215437,50.6545247953167,2886.213583323623,0.01,8.648250607352129,0.04158808967937602,0.6474323140014475,0.13663965181941615,Klein_deformada,0,50.0,55.68,201809.33887177144,True
H1L1V1-GSTLAL_AllSky-1238662706-1.xml,1238662706.0,44.304082409191544,24.498106871678104,68.80218928086964,500.0,0.01,7.784408719902897,0.03211814852221889,0.04279979080441021,0.12901483568160757,Klein_deformada,0,24.835772276115627,30.515772276115626,35459.63130289878,True
H1L1V1-GSTLAL_AllSky-1238674117-1.xml,1238674117.0,20.90133915177381,11.960235341674773,32.861574493448586,1006.8019943657075,0.01,7.4115299692980825,0.03288893597644868,0.6553104709485238,0.06007687358139259,Klein_relajada,-1,49.81629401824674,55.496294018246736,71237.08450993059,True
H1L1V1-GSTLAL_AllSky-1238729030-1.xml,1238729030.0,74.5167867210611,16.6090621337709,91.125848854832,872.8975951484451,0.01,8.793534587618423,0.018915608342557042,0.6495963699764158,0.11368067393324056,Klein_deformada,0,43.524644273894985,49.204644273894985,61711.543539826445,True
H1L1V1-GSTLAL_AllSky-1238750282-1.xml,1238750282.0,68.11687604025872,10.036624420207414,78.15350046046613,1050.0880961943792,0.01,6.224344231989544,0.015893766716063448,0.29667240520806726,0.05798693250092806,Klein_relajada,-1,50.0,55.68,73375.60594647155,True
H1L1V1-GSTLAL_AllSky-1238754998-1.xml,1238754998.0,31.568872170907536,27.927262765516552,59.496134936424085,500.0,0.01,9.055399587105422,0.04538582260946664,0.36136212362606546,0.1833909276710965,Klein_deformada,1,25.0646405681865,30.7446405681865,34683.56814555828,True
H1L1V1-GSTLAL_AllSky-1238782700-1.xml,1238782700.0,23.58355854851681,23.506723777403135,47.090282325919944,1791.2980725858572,0.01,6.758287574418326,0.04986968078467784,0.29418093519187616,0.11903257086521514,Klein_deformada,0,50.0,55.68,124768.47707165188,True
H1L1V1-GSTLAL_AllSky-1238839513-1.xml,1238839513.0,63.65143093354979,20.37502753877377,84.02645847232355,1226.6694130408696,0.01,8.34978814547119,0.022804128510508868,-0.2577074045279988,0.1199958590118579,Klein_deformada,0,50.0,55.68,85885.4967177036,True
H1L1V1-GSTLAL_AllSky-1238845539-1.xml,1238845539.0,78.60228405519331,34.790185917373506,113.39246997256681,500.0,0.01,7.161810105435163,0.027704414743441486,0.31046419123691615,0.16873969527449537,Klein_deformada,0,24.835772276115627,30.515772276115626,34377.46800831791,True
H1L1V1-GSTLAL_AllSky-1238899272-1.xml,1238899272.0,35.536052548200345,15.818227585750094,51.35428013395044,3128.2602027113753,0.01,6.06196765154108,0.027805272619174107,0.31354423027473377,0.06492002542340715,Klein_relajada,-1,50.0,55.68,219036.6576581838,True
H1L1V1-GSTLAL_AllSky-1238919052-1.xml,1238919052.0,26.867706356783213,19.643031011230747,46.51073736801396,1209.2150129535432,0.01,6.933937389312141,0.039244075769454774,-0.24709675089365374,0.09492235611441159,Klein_relajada,-1,50.0,55.68,84117.46250663551,True
H1L1V1-GSTLAL_AllSky-1239082262-1.xml,1239082262.0,26.555778276633056,25.25021745366776,51.805995730300815,500.0,0.01,7.948075476868555,0.04803348136233825,0.7033074618804267,0.14833626375072134,Klein_deformada,0,24.835772276115627,30.515772276115626,34998.783373953025,True
H1L1V1-GSTLAL_AllSky-1239092652-1.xml,1239092652.0,30.160843801315007,10.528772581172298,40.6896163824873,1352.793369672206,0.01,8.026540887468746,0.023963498701204435,0.23543365230661828,0.058698027451682074,Klein_relajada,-1,50.0,55.68,94315.90177968983,True
H1L1V1-GSTLAL_AllSky-1239174401-1.xml,1239174401.0,62.82610682133066,13.294211463572598,76.12031828490326,1155.169285529908,0.01,8.5692563803577,0.018464131957996135,0.7198652015976432,0.09033039113020426,Klein_relajada,0,50.0,55.68,80714.1908062595,True
