event_id,gps_time,mass_1,mass_2,mass_total,distance_mpc,redshift,snr,efficiency,chi_eff,max_epsilon,final_state,mode_parity,combined_factor,doppler_shift_hz,frequency_observed,v_total_kms,v_peculiar_c,beta,doppler_factor,klein_scale_correction,topology_conserved,doppler_realistic,beta_physical
H1L1V1-GSTLAL_AllSky-1238533958-1.xml,1238533958.0,64.828939397772,29.395712299429423,94.22465169720142,1037.9319859021232,1.2215616561110265,8.22109626313478,0.02813740133495978,0.26375147427710666,0.16347054961287508,Klein_deformada,1,0.22398452075916597,0.4282200139335206,6.10822001393352,72603.46984714977,0.05,0.05,1.0753908475235072,1.0000019065822074,True,True,False
H1L1V1-GSTLAL_AllSky-1238515766-1.xml,1238515766.0,64.828939397772,29.395712299429423,94.22465169720142,1037.9319859021232,1.2215616561110265,8.22109626313478,0.02813740133495978,0.26375147427710666,0.16347054961287508,Klein_deformada,1,0.22398452075916597,0.4282200139335206,6.10822001393352,72603.46984714977,0.05,0.05,1.0753908475235072,1.0000019065822074,True,True,False
H1L1V1-GSTLAL_AllSky-1238393111-1.xml,1238393111.0,64.828939397772,29.395712299429423,94.22465169720142,1037.9319859021232,1.2215616561110265,8.22109626313478,0.02813740133495978,0.26375147427710666,0.16347054961287508,Klein_deformada,1,0.22398452075916597,0.4282200139335206,6.10822001393352,72603.46984714977,0.05,0.05,1.0753908475235072,1.0000019065822074,True,True,False
H1L1V1-GSTLAL_AllSky-1238674117-1.xml,1238674117.0,64.828939397772,29.395712299429423,94.22465169720142,1037.9319859021232,1.2215616561110265,8.22109626313478,0.02813740133495978,0.26375147427710666,0.16347054961287508,Klein_deformada,1,0.22398452075916597,0.4282200139335206,6.10822001393352,72603.46984714977,0.05,0.05,1.0753908475235072,1.0000019065822074,True,True,False
H1L1V1-GSTLAL_AllSky-1238573777-1.xml,1238573777.0,64.828939397772,29.395712299429423,94.22465169720142,1037.9319859021232,1.2215616561110265,8.22109626313478,0.02813740133495978,0.26375147427710666,0.16347054961287508,Klein_deformada,1,0.22398452075916597,0.4282200139335206,6.10822001393352,72603.46984714977,0.05,0.05,1.0753908475235072,1.0000019065822074,True,True,False
H1L1V1-GSTLAL_AllSky-1238729030-1.xml,1238729030.0,25.83451672943489,22.141827259927496,47.976343989362384,2184.3686623332746,0.23865682026550528,6.024046669413924,0.044282549183046915,-0.06045448441104756,0.09598632284510576,Klein_relajada,-1,0.0963710147407248,-0.1897675369532168,5.490232463046783,152455.47468894994,0.05,0.05,0.9665902223673913,1.0000040124771976,True,True,False
H1L1V1-GSTLAL_AllSky-1238754998-1.xml,1238754998.0,25.83451672943489,22.141827259927496,47.976343989362384,2184.3686623332746,0.23865682026550528,6.024046669413924,0.044282549183046915,-0.06045448441104756,0.09598632284510576,Klein_relajada,-1,0.0963710147407248,-0.1897675369532168,5.490232463046783,152455.47468894994,0.05,0.05,0.9665902223673913,1.0000040124771976,True,True,False
H1L1V1-GSTLAL_AllSky-1238662706-1.xml,1238662706.0,64.828939397772,29.395712299429423,94.22465169720142,1037.9319859021232,1.2215616561110265,8.22109626313478,0.02813740133495978,0.26375147427710666,0.16347054961287508,Klein_deformada,1,0.22398452075916597,0.4282200139335206,6.10822001393352,72603.46984714977,0.05,0.05,1.0753908475235072,1.0000019065822074,True,True,False
H1L1V1-GSTLAL_AllSky-1238750282-1.xml,1238750282.0,25.83451672943489,22.141827259927496,47.976343989362384,2184.3686623332746,0.23865682026550528,6.024046669413924,0.044282549183046915,-0.06045448441104756,0.09598632284510576,Klein_relajada,-1,0.0963710147407248,-0.1897675369532168,5.490232463046783,152455.47468894994,0.05,0.05,0.9665902223673913,1.0000040124771976,True,True,False
H1L1V1-GSTLAL_AllSky-1238839513-1.xml,1238839513.0,58.14362349474702,42.99072317196216,101.13434666670918,2097.4244812078055,0.24530835752225016,7.874052476832059,0.039575537668956016,0.6473672803752724,0.23636603242762694,Klein_extrema,1,0.31019309051262045,-0.10317199072208005,5.57682800927792,147430.4408044617,0.05,0.05,0.9818359171263944,1.0000038527690174,True,True,False
H1L1V1-GSTLAL_AllSky-1238782700-1.xml,1238782700.0,25.83451672943489,22.141827259927496,47.976343989362384,2184.3686623332746,0.23865682026550528,6.024046669413924,0.044282549183046915,-0.06045448441104756,0.09598632284510576,Klein_relajada,-1,0.0963710147407248,-0.1897675369532168,5.490232463046783,152455.47468894994,0.05,0.05,0.9665902223673913,1.0000040124771976,True,True,False
H1L1V1-GSTLAL_AllSky-1238899272-1.xml,1238899272.0,58.14362349474702,42.99072317196216,101.13434666670918,2097.4244812078055,0.24530835752225016,7.874052476832059,0.039575537668956016,0.6473672803752724,0.23636603242762694,Klein_extrema,1,0.31019309051262045,-0.10317199072208005,5.57682800927792,147430.4408044617,0.05,0.05,0.9818359171263944,1.0000038527690174,True,True,False
H1L1V1-GSTLAL_AllSky-1238845539-1.xml,1238845539.0,25.83451672943489,22.141827259927496,47.976343989362384,2184.3686623332746,0.23865682026550528,6.024046669413924,0.044282549183046915,-0.06045448441104756,0.09598632284510576,Klein_relajada,-1,0.0963710147407248,-0.1897675369532168,5.490232463046783,152455.47468894994,0.05,0.05,0.9665902223673913,1.0000040124771976,True,True,False
H1L1V1-GSTLAL_AllSky-1239082262-1.xml,1239082262.0,58.14362349474702,42.99072317196216,101.13434666670918,2097.4244812078055,0.24530835752225016,7.874052476832059,0.039575537668956016,0.6473672803752724,0.23636603242762694,Klein_extrema,1,0.31019309051262045,-0.10317199072208005,5.57682800927792,147430.4408044617,0.05,0.05,0.9818359171263944,1.0000038527690174,True,True,False
H1L1V1-GSTLAL_AllSky-1238919052-1.xml,1238919052.0,25.83451672943489,22.141827259927496,47.976343989362384,2184.3686623332746,0.23865682026550528,6.024046669413924,0.044282549183046915,-0.06045448441104756,0.09598632284510576,Klein_relajada,-1,0.0963710147407248,-0.1897675369532168,5.490232463046783,152455.47468894994,0.05,0.05,0.9665902223673913,1.0000040124771976,True,True,False
H1L1V1-GSTLAL_AllSky-1239174401-1.xml,1239174401.0,58.14362349474702,42.99072317196216,101.13434666670918,2097.4244812078055,0.24530835752225016,7.874052476832059,0.039575537668956016,0.6473672803752724,0.23636603242762694,Klein_extrema,1,0.31019309051262045,-0.10317199072208005,5.57682800927792,147430.4408044617,0.05,0.05,0.9818359171263944,1.0000038527690174,True,True,False
H1L1V1-GSTLAL_AllSky-1239092652-1.xml,1239092652.0,47.29778538631733,23.113808003304975,70.41159338962231,598.8964491214052,0.37450756950859354,6.947953344187937,0.029547475903589783,0.24560258535864887,0.1084133380028498,Klein_deformada,0,0.12554180238857957,-0.0748987959798928,5.605101204020107,42552.15644500236,0.05,0.05,0.9868135922570611,1.0000011001157392,True,True,False
H1L1V1-GSTLAL_AllSky-1239179057-1.xml,1239179057.0,47.29778538631733,23.113808003304975,70.41159338962231,598.8964491214052,0.37450756950859354,6.947953344187937,0.029547475903589783,0.24560258535864887,0.1084133380028498,Klein_deformada,0,0.12554180238857957,-0.0748987959798928,5.605101204020107,42552.15644500236,0.05,0.05,0.9868135922570611,1.0000011001157392,True,True,False
H1L1V1-GSTLAL_AllSky-1239198206-1.xml,1239198206.0,58.14362349474702,42.99072317196216,101.13434666670918,2097.4244812078055,0.24530835752225016,7.874052476832059,0.039575537668956016,0.6473672803752724,0.23636603242762694,Klein_extrema,1,0.31019309051262045,-0.10317199072208005,5.57682800927792,147430.4408044617,0.05,0.05,0.9818359171263944,1.0000038527690174,True,True,False
H1L1V1-GSTLAL_AllSky-1239227262-1.xml,1239227262.0,47.29778538631733,23.113808003304975,70.41159338962231,598.8964491214052,0.37450756950859354,6.947953344187937,0.029547475903589783,0.24560258535864887,0.1084133380028498,Klein_deformada,0,0.12554180238857957,-0.0748987959798928,5.605101204020107,42552.15644500236,0.05,0.05,0.9868135922570611,1.0000011001157392,True,True,False
