pulsar_name,ra_deg,dec_deg,period_ms,dm_pc_cm3,timing_rms_us,timespan_years,array,klein_timing_amplitude_ns,klein_snr,array_baseline_km,klein_correlation
J1426+5805,152.4978538458197,35.692805622417,4.380721069323406,32.82620255047454,0.14201787269614233,16.762166896445574,IPTA,2801938.399664477,19729.47732895162,8000,0.38582130682912413
J1424+3254,148.73257877474936,-69.94200141613481,1.018636261873026,12.2326781457946,0.9160966495239345,16.358043915235946,NANOGrav,2801938.399664477,3058.5619990211217,4000,0.6211451576154515
J2780+8050,108.47416696321929,-3.835961146938832,18.73884122959097,30.446591300886578,0.11848731423656804,13.788468463672647,NANOGrav,2801938.399664477,23647.581327315893,4000,0.6211451576154515
J1908+8069,286.9782701680924,-14.614477732879905,36.098999439853436,22.590985239076783,0.3465879044125038,12.180654002974071,EPTA,2801938.399664477,8084.3513694282055,3000,0.6996725373751304
J1638+4988,20.819064046222664,-45.12114307950694,2.5989480179285835,57.17686801265107,0.5886014299311331,13.856550068612933,EPTA,2801938.399664477,4760.332301592109,3000,0.6996725373751304
J2201+5778,203.0819723678875,2.8288652903843508,2.045134051943525,32.75807278637238,1.2687681426194652,10.167327888652666,PPTA,2801938.399664477,2208.392775278601,4000,0.6211451576154515
J2572+8416,123.07676981481588,-18.73773273615417,1.396228063369055,26.164150245890937,0.31298983130419017,7.387457514323829,IPTA,2801938.399664477,8952.170707876177,8000,0.38582130682912413
J2874+5603,114.14009087780784,14.149956990795618,3.9285359784108187,14.35097205882694,0.38626319608049153,17.370419912353988,NANOGrav,2801938.399664477,7253.9616202020825,4000,0.6211451576154515
J2946+5510,187.7627564747448,18.896610720685487,0.3593998650806812,54.99785182279574,0.1476428219667466,14.427916944260149,NANOGrav,2801938.399664477,18977.816614041378,4000,0.6211451576154515
J1315+4513,147.7165554402988,-27.277602380175193,4.913078047350566,42.16611297634987,0.42965582988345424,13.096918572979368,EPTA,2801938.399664477,6521.3554775330595,3000,0.6996725373751304
J2990+7012,65.33005244734815,-0.3960681383672342,30.254317627471988,63.54199244945932,2.8608488792473854,5.537336811362589,IPTA,2801938.399664477,979.4080421338417,8000,0.38582130682912413
J2423+5724,67.71335270519113,34.255535321273335,3.3825397780031623,8.976602825823164,0.1135502629164999,11.13431822354456,NANOGrav,2801938.399664477,24675.75439895639,4000,0.6211451576154515
J1079+7496,335.24526206552207,-3.727229113379635,12.229732565506646,22.063528242570342,1.1965419878303372,18.24612906698981,NANOGrav,2801938.399664477,2341.6966793995834,4000,0.6211451576154515
J2320+4413,265.5301534918701,13.938495014205614,2.8686990710169735,15.380264438896333,0.23949207263866631,5.9219249342765465,EPTA,2801938.399664477,11699.503740534668,3000,0.6996725373751304
J2214+1467,229.58000628561777,0.4367093786532784,11.76727522122773,33.09133816527942,0.4707959193024172,14.735462243651154,EPTA,2801938.399664477,5951.492535908416,3000,0.6996725373751304
