name,ra_deg,dec_deg,redshift,peak_magnitude,host_galaxy_mass
SN2020a,300.5431735196338,-14.439456607593081,0.25286382147224173,-18.821594990318737,3932010247.461044
SN2020b,37.72659757315311,-20.6379335108792,0.34342359753597657,-19.294416103945466,20775374028.400806
SN2020c,268.07057340462643,-11.73561662998496,0.2714871487326054,-19.1315773989947,2580541976.1032624
SN2020d,129.78030105226284,10.967036705059911,0.4587795446077851,-19.359543046505106,11418054085.078148
SN2020e,129.35190161090588,41.51174246053952,0.08527488263330728,-19.161037734385243,9674389184.004436
SN2020f,219.3258170225346,59.174041288270345,0.6404022130324388,-19.845728194349483,11837776209.364958
SN2020g,141.7606383917705,42.451548052240696,0.22223853267756324,-19.26012255423678,14321651764.860077
SN2020h,147.2661395499235,3.967386514478015,0.730017781208666,-19.485123891414116,18520712679.383858
SN2020i,183.5648674522583,16.41636830596555,0.7223777439360277,-18.907546148765814,10041738692.444489
SN2020j,255.65327759774644,-24.699097076513034,0.022527662277498424,-19.06724868623201,3492435190.420955
SN2020k,345.7894410740402,33.99861175827258,0.6844089743259852,-19.384051119154833,25333390770.95889
SN2020l,164.38359921801742,-23.474296794212748,0.5437288771993435,-19.517181313870825,6789375756.594964
SN2020m,153.95454758217923,49.435042373689186,0.03976743093991645,-19.582993011581635,16948646699.424212
SN2020n,40.84693240318934,35.34520367099027,0.2540687879298724,-19.131494127084913,8261085299.973958
SN2020o,78.44359296474869,45.00295911975803,0.4557570986896161,-19.507837792407212,15471503330.603579
SN2020p,344.68994486445024,33.92076154466557,0.47932132726770604,-18.789472126517026,9614151108.798159
SN2020q,339.6062593455822,32.76869263837726,0.5478425921571198,-19.615516781520704,7628976664.754744
SN2020r,317.4567412163392,53.70925230673552,0.5096211417517171,-19.498345467038966,16688223282.150621
SN2020s,232.70780246522165,49.35054739715547,0.7515749667382333,-19.603269913070243,2184038612.221124
SN2020t,76.97693236701907,-21.452521503318774,0.5923244782653749,-19.737664213831238,7925575928.185612
SN2020u,229.2595249704621,11.08467755136622,0.5984358529511624,-19.182833999998408,9874346216.314913
SN2020v,50.09265071456526,14.34511426709797,0.09601962027944826,-19.543133260290844,12089271033.542334
SN2020w,165.1334653099305,-20.192384645775107,0.3999718653537784,-18.952698420082207,6853063376.865753
SN2020x,314.5907466562746,-16.16389852244253,0.6947333184970181,-19.290471064993316,3048885735.9912257
SN2020y,93.0421101121465,58.58556299758601,0.024421535069531923,-19.869078493024585,11805858893.434305
SN2020z,239.3463951945114,-5.559586165924621,0.15449393938504727,-19.559485286082534,4762243444.194939
SN2020{,310.56276097330533,50.74366979619343,0.09901710368733788,-19.31715924889324,14105797396.72176
SN2020|,53.58530269591882,-15.218881902832374,0.6841051507773368,-18.93069464380686,12105701309.546215
SN2020},202.66198493723036,-18.08775347353226,0.048278777553757826,-19.460065449435582,9538662535.68798
SN2020~,57.29589497273317,-1.438193759761262,0.4045488271766142,-19.40079230273001,24261748980.712303
