event_name,chirp_mass_msun,total_mass_msun,mass_ratio,effective_spin,distance_mpc,snr,false_alarm_rate,klein_epsilon_max,klein_frequency_hz
GW190400,15.425557599559669,38.22969391413013,0.15173996595813044,-0.15569137170907546,183.3787039610657,14.500764137060077,3.87446184966921e-12,0.18611895960860278,5.664640717640279
GW190401,14.793146909669154,40.087945520841544,0.14384033379491173,0.05817116248498248,378.17541406319623,10.518225959049373,7.449933431806324e-13,0.1574509067850348,5.681716436951423
GW190402,19.09370998611708,88.0207515880747,0.32741384581089644,0.2969998863085465,497.6134169246172,8.0,3.5618215162418443e-12,0.17836986265245347,5.78896472751207
GW190403,52.93992200730516,129.1155542213453,0.36516150332898184,-0.09789596663016495,207.51864617937395,11.787376687508711,4.339570251179538e-12,0.3696037054432673,5.630653398503362
GW190404,25.476641667867117,55.18316798377123,0.24421849254191422,-0.2484585883276064,354.73766944122434,12.085885419004576,1.0482635818900368e-13,0.2297633398885498,5.683857709044849
GW190405,53.970715687699744,84.0876874406426,0.49573746216589465,0.05111260161688657,362.9427672704012,17.268900584873315,2.0537381497007356e-13,0.37350140777948243,5.616128324813513
GW190406,8.063051630335982,81.69760126044142,0.1,0.09498220830474045,332.3414012681789,8.0,1.8206011272978778e-13,0.12950520499804286,5.763581654889229
GW190407,42.63111200458086,41.09974441416743,0.1,-0.20301074014704654,534.7030157935277,13.074058364360006,6.682483493861564e-13,0.2831874920256344,5.714067692332639
GW190408,76.47682008382938,36.43050574858095,0.1,0.4510495484684154,192.36772314963576,13.372547303675159,1.898853494204234e-11,0.37106762975589414,5.664227587330218
GW190409,22.060838955438886,56.333977829518226,0.20455342332841764,0.10801499764515841,212.70461951386724,13.111132507437967,3.8657947341315015e-14,0.18251655314662826,5.662273904960697
GW190410,112.89776535532913,45.59491364810855,0.17155378437544797,-0.26567385194602533,117.75651774160039,21.289592399315556,2.760376368520633e-12,0.47948181941336165,5.610930008333418
GW190411,15.369486261716027,86.25252633076855,0.20037164247870962,-0.416412190759995,122.17556941265539,13.129206550364644,8.558812622912551e-14,0.1941220474393338,5.578765623208925
GW190412,20.019693270579243,27.797540079667346,0.14433882268783846,-0.25802215732886935,1670.6900066325645,28.555526070559317,1.1473830556574146e-12,0.18866265573186214,5.647212166794189
GW190413,8.416072387888365,49.79681437630696,0.1,0.3350706717184332,844.7731200965961,17.52896820216749,8.034943008086143e-13,0.13587619206057405,5.662615178504003
GW190414,22.478719010835647,88.90456089575355,0.5960040928983036,-0.05443098828409214,575.8393221278938,16.692565198824532,1.1881475408894637e-13,0.19267109172233676,5.709041469593797
GW190415,13.176413764656056,55.34681719691547,0.11532326059238171,-0.15731989001710905,526.3524460931338,15.334587521793615,8.682768001420291e-13,0.1813622312279146,5.751842471105096
GW190416,95.27392675369488,55.52824274699213,0.21905538747970313,-0.059358163455751733,923.224090046283,15.504771693327097,1.211092447577229e-12,0.45519332462804957,5.636397421704376
GW190417,40.019942082571234,57.736612795477825,0.4758382357819117,0.0305576712853687,280.85974475172446,18.176228614673494,1.1571928265727101e-12,0.26057027537175825,5.641918138663799
GW190418,71.34164685899907,53.3776810869578,0.49338385965049275,-0.5069220822348433,300.403937041737,11.499006828774021,5.413131700015899e-13,0.46027988951375515,5.667023026990308
GW190419,84.74634877376852,54.37145597449435,0.27627106462907314,-0.6204621744111162,1817.7248020677853,8.947981190427274,1.9101779680399765e-11,0.4585825229167372,5.671572032952658
GW190420,14.392992493530244,63.831062013045525,0.18758776262800356,-0.25480284228547134,148.1475865918968,9.286687632426561,1.9026326692154338e-11,0.17764350429707573,5.592085399675878
GW190421,11.14569744868989,60.44921268557464,0.6544390662650261,0.27229795890101777,310.99106119051095,9.728748934794567,2.6356987162126663e-12,0.1852591163669549,5.603189980052872
GW190422,75.71304156283371,38.33205729922274,0.3118448858027336,0.3238396133922435,419.1273360298734,13.285176371490188,3.0293739339817507e-12,0.3654252220163744,5.644851219934774
GW190423,16.225569884910247,112.68058011224001,0.30400364223947796,0.16759983335637793,171.4736288884862,8.015595102261114,1.0179535637442759e-12,0.15286786806414382,5.657796129485717
GW190424,35.181903111621004,61.76423380985838,0.3805260542933158,-0.2007531308706446,475.1717883602499,14.81758930638731,2.2467881494954433e-13,0.27500183431440367,5.668681089806437
GW190425,21.167220807869388,75.47086427635911,0.1571340306441705,0.20104053816050063,350.33644223869254,14.38266838970767,4.532675204495531e-12,0.20497683709114567,5.598501295122983
GW190426,29.822206516368492,35.80323630691203,0.33226736051680644,0.29256842031508185,276.06608586277,20.14794684807147,1.061368748127837e-12,0.29293442203955905,5.715010261147924
GW190427,21.661618493389867,23.620224807299447,0.2160463284200781,-0.11345447576802747,174.2705415409277,9.59806902598538,8.085809156107037e-13,0.20953065139262742,5.6093375888709565
