pulsar,mjd,residual_us,residual_error_us,frequency_mhz,time_years,klein_phase
J1747-4036,54001.698923367294,52934.032544670976,0.11550930930557123,1594.024354375787,0.0,0.25350738482983104
J1747-4036,54014.65420806223,52277.32388393695,0.209111591137778,1394.2757269075748,0.03546963639955453,5.748844848291874
J1747-4036,54035.531970320044,51574.18559741595,0.22599384921284327,1507.4459791240108,0.09262983423066395,3.1321799680827453
J1747-4036,54079.73083039777,50793.861858793534,0.08205372793131381,1437.9179164482937,0.21363971808480725,3.011972964646702
J1747-4036,54101.14971722726,50042.28375030523,0.06298351300872106,1388.7557164350749,0.2722814342504137,0.180409117173852
J1747-4036,54113.21377386757,49363.268890521846,0.29358348899980574,1553.6399280054452,0.30531102121908993,5.988230098203481
J1747-4036,54116.57933571902,48883.668904477614,0.24641828653009878,1464.0518912316345,0.3145254273832325,1.022779247236926
J1747-4036,54117.65544284736,48747.258568558835,0.1450743821217615,1537.4007385416774,0.31747164813160045,5.580886560724473
J1747-4036,54179.49415861815,48545.86019639796,0.2309674848377038,1565.6642885889344,0.48677682477989936,2.0745505698432183
J1747-4036,54189.46328411059,48480.9145495788,0.23597581719687705,1479.6578475305473,0.5140708028563951,3.794041730189811
J1747-4036,54193.567124765614,48329.10152904718,0.24602779397135432,1279.9695919523708,0.5253065062240104,3.8514439533434555
J1747-4036,54210.413788383536,48242.459340820074,0.2533695117981051,1542.310800811089,0.5714301574708875,2.9958104499863722
J1747-4036,54222.71417423664,48386.83672046125,0.16618138928323883,1237.9820546135347,0.6051067785608287,2.733057281667314
J1747-4036,54240.390540022476,48659.38121559401,0.13702804970767563,1248.8163228353187,0.6535020305412235,1.8667927411693341
J1747-4036,54280.32249096688,48946.35868934247,0.14458647711210432,1372.8888730297092,0.7628297538660779,0.546497743147448
J1747-4036,54281.06093582842,49226.31214178642,0.1645949935451692,1220.4565375004022,0.7648515057115021,2.3855396617447013
J1747-4036,54294.79281900671,49892.6357101738,0.1277947899085325,1219.349049058842,0.8024473528799907,3.2244256509736786
