ell,Cl,err_Cl,binned
2.0,4.538320170552086e+22,9.076640341104173e+20,False
3.0,3.2440135589958796e+22,6.48802711799176e+20,False
4.0,2.604750651092275e+22,5.20950130218455e+20,False
5.0,2.216910998930744e+22,4.433821997861488e+20,False
6.0,1.9530431160452687e+22,3.9060862320905375e+20,False
7.0,1.7599574794353557e+22,3.5199149588707115e+20,False
8.0,1.6113881655685344e+22,3.2227763311370686e+20,False
9.0,1.4928040952495958e+22,2.9856081904991915e+20,False
10.0,1.395478159035854e+22,2.7909563180717077e+20,False
11.0,1.3138325244262413e+22,2.6276650488524826e+20,False
12.0,1.2441239190306785e+22,2.488247838061357e+20,False
13.0,1.1837395658710446e+22,2.3674791317420894e+20,False
14.0,1.130795861771268e+22,2.2615917235425362e+20,False
15.0,1.083897650456399e+22,2.167795300912798e+20,False
16.0,1.0419875563407936e+22,2.083975112681587e+20,False
17.0,1.0042482309878635e+22,2.008496461975727e+20,False
18.0,9.700369421847994e+21,1.940073884369599e+20,False
19.0,9.388406176729392e+21,1.8776812353458785e+20,False
20.0,9.102442146107058e+21,1.8204884292214116e+20,False
21.0,8.839079996013949e+21,1.76781599920279e+20,False
22.0,8.595509260379577e+21,1.7191018520759157e+20,False
23.0,8.369382704442328e+21,1.6738765408884657e+20,False
24.0,8.158722991736217e+21,1.6317445983472435e+20,False
25.0,7.961851274894463e+21,1.5923702549788928e+20,False
26.0,7.777331889246195e+21,1.555466377849239e+20,False
27.0,7.603929037700518e+21,1.5207858075401037e+20,False
28.0,7.440572518395647e+21,1.4881145036791294e+20,False
29.0,7.286330350949837e+21,1.4572660701899673e+20,False
30.0,7.140386721973978e+21,3.5701933609869895e+20,False
46.86041912686791,5.553304499988648e+21,5.188931033515808e+19,True
75.74894573801872,4.102078077689645e+21,3.754524631761765e+19,True
105.42738904527293,3.3146092406741155e+21,3.030178430444002e+19,True
135.21808293355656,2.814648393269115e+21,2.5716321793907425e+19,True
164.9376806203385,2.504988621785736e+21,2.2874723502296138e+19,True
194.64113059328807,2.3722347962304556e+21,2.165617436286693e+19,True
224.82813217041678,2.2816054946700547e+21,2.083197266093558e+19,True
255.29568379513137,2.0300037082701342e+21,1.8550948534512476e+19,True
285.3054396296216,1.7156957796738723e+21,1.5679135753950441e+19,True
315.03569629541437,1.5024253147231397e+21,1.3721807463687307e+19,True
344.90174369264264,1.3713609319885172e+21,1.252213149363824e+19,True
374.86154679120716,1.2710924593672282e+21,1.1605966440020247e+19,True
404.79632129779924,1.1887792812419323e+21,1.0853617196814459e+19,True
434.48885466631316,1.1491248613041984e+21,1.0490119697554303e+19,True
463.6715348093002,1.2394733892809764e+21,1.1328174099526525e+19,True
493.0362711603116,1.571002356392791e+21,1.4392953596447365e+19,True
523.6112885763871,2.0348104341914966e+21,1.8600251386592575e+19,True
555.03050904469,2.1232897789529914e+21,1.939311668927984e+19,True
586.2773505289531,1.6499118107790263e+21,1.5141786128609227e+19,True
616.4361199550412,1.1098870148061069e+21,1.019643934108497e+19,True
645.48854948257,8.277520062984103e+20,7.569080634891767e+18,True
674.2810865830606,7.683288386262549e+20,7.014730580329562e+18,True
702.99300885564,9.066218805119914e+20,8.308533785640732e+18,True
732.2779230871097,1.3287562674059624e+21,1.223177575331384e+19,True
762.7462549884623,2.031560310282055e+21,1.8641711031386923e+19,True
793.9919932613748,2.593833136908786e+21,2.3689785020689207e+19,True
825.4640565335004,2.4716428391080505e+21,2.2598965369605317e+19,True
856.708449471382,1.7569828218319185e+21,1.617157572900437e+19,True
887.1989725944683,1.0407493499884504e+21,9.619557812313203e+18,True
916.5495432805994,6.400709757654488e+20,5.885184033458788e+18,True
945.4539457812845,4.802305714078346e+20,4.390708516380234e+18,True
974.8901729459856,4.244094523923243e+20,3.8753056543454505e+18,True
1004.751375456431,3.993339125392067e+20,3.645788010616619e+18,True
1034.7294129102238,3.807827659199782e+20,3.4763605036012933e+18,True
1064.7253719248174,3.638564457834775e+20,3.321821272637201e+18,True
1094.7231839270212,3.478798200736352e+20,3.17595773480392e+18,True
1124.721218914682,3.3274162819438005e+20,3.037749666540287e+18,True
1154.719360831989,3.183839073937218e+20,2.9066675313146506e+18,True
1184.7175971426605,3.047561544777245e+20,2.7822501677420667e+18,True
1214.7159207090974,2.918121553951605e+20,2.6640755945950556e+18,True
1244.714325209848,2.7950944144772298e+20,2.5517560337751695e+18,True
1274.712804922072,2.678089044373816e+20,2.444934395029294e+18,True
1304.711354650084,2.566744619434613e+20,2.3432812188768973e+18,True
